Name,Brand,Image,Notes,Season,Concentration,Rating,Description,Status,Volume
Atlas Fever,Ex Nihilo,https://drive.google.com/file/d/1rb7WWsg4cd1MjuF71HHWZyWcC4LM7bWX/view?usp=sharing,"Top: Pink Pepper, Incense
Mid: Narcissus
Base: Cedar, Sandalwood, Tonka Bean, Vanilla, Oak, Guaiac Wood",Fall/Winter,EDP,4.1,"A captivating oriental woody fragrance with smoky incense, sweet vanilla, and rich woods.",Owned,
Blue Talisman,Ex Nihilo,https://drive.google.com/file/d/191vYh3oEa0L2kKWPntCUFk474VUnDf1A/view?usp=sharing,"Top: Pear, Bergamot, Mandarin Orange, Ginger
Mid: Orange Blossom, Georgywood
Base: Musk, Ambrofix, Akigalawood, Cedar",All Year,EDP,4.17,"A modern woody-fruity fragrance with sparkling ginger, pear, and a clean, vibrant Akigalawood base.",Owned,100ml
Blue Talisman Extrait de Parfum,Ex Nihilo,https://drive.google.com/file/d/18FpCeWcTEC3JUM-lKNsq_CAVzyI2Y4FT/view?usp=sharing,"Top: Pear, Bergamot
Mid: Orange Blossom, Jasmine Sambac
Base: Amberwood, Ambrofix, Sandalwood, Musk, Vanilla",All Year,Extrait,4.26,"A denser, richer version of Blue Talisman with amplified floral notes and a deeper amberwood base.",Owned,100ml
Bohemian Lime,Goldfield & Banks,https://drive.google.com/file/d/1cYrLc7oHCWERYQOKNbEtMCr6XnT7U29j/view?usp=sharing,"Top: Australian Finger Lime, Bergamot
Mid: Coriander
Base: Atlas Cedar, Vetiver, Australian Sandalwood",Spring/Summer,EDP,3.8,"A carefree, citrus-aromatic fragrance featuring tart Australian finger lime, coriander, and grounding vetiver.",Owned,100ml
Fleur Narcotique Extrait de Parfum,Ex Nihilo,https://drive.google.com/file/d/1KDSZuLxHwbs2LDGPM6d79ARqh8D0je7F/view?usp=sharing,"Top: Litchi, Bergamot, Peach
Mid: Peony, Orange Blossom, Jasmine
Base: Musk, Moss, Woodsy Notes",Spring/Summer,Extrait,4.3,"A bright, juicy, and fresh fruity-floral fragrance with a vibrant burst of lychee and a lush floral bouquet.",Owned,100ml
Granit Bleu,Yves Rocher,,"Top: Bergamot
Mid: Marine Algae
Base: Vetiver, Sand",Spring/Summer,EDT,3.57,"A fresh, aquatic, and woody scent that contrasts marine algae with bright bergamot and vetiver.",Owned,
Ingenious Ginger,Goldfield & Banks,https://drive.google.com/file/d/191vYh3oEa0L2kKWPntCUFk474VUnDf1A/view?usp=sharing,"Top: Australian Ginger Flower, Bergamot, Lemon
Mid: Magnolia, Jasmine, Rose, Mandarin
Base: Patchouli, Musk, Cashmeran, Amber",Spring/Summer,Extrait,3.9,"An uplifting, tropical ginger fragrance paired with sparkling citrus, lush white florals, and warm amber.",Owned,100ml
Lira,Casamorati,https://drive.google.com/file/d/108ZGgueA4VJTDCuzDlcfdHKkCYOk1IpB/view?usp=sharing,"Top: Blood Orange, Bergamot, Lavender
Mid: Cinnamon, Licorice, Jasmine
Base: Caramel, Vanilla, Musk",Fall/Winter,EDP,4.35,"A delicious gourmand fragrance featuring warm caramel, vanilla, and bright blood orange.",Owned,
Naxos,Xerjoff,https://drive.google.com/file/d/1n6f3koXgCRYbuXJZD0PuuXd7vR-vcDfb/view?usp=sharing,"Top: Lavender, Bergamot, Lemon
Mid: Honey, Cinnamon, Cashmeran, Jasmine Sambac
Base: Tobacco Leaf, Tonka Bean, Vanilla",Fall/Winter,EDP,4.5,"A luxurious blend of sweet honey, aromatic lavender, and rich tobacco leaves.",Owned,
Nio,Xerjoff,https://drive.google.com/file/d/1CvLURljXuzcln5kWGJzft5ARoIWFS_zT/view?usp=sharing,,,,,,Owned,
