Name,Brand,Image,Notes,Season,Concentration,Rating,Description,Status,Volume
Spiritueuse Double Vanille,Guerlain,https://drive.google.com/file/d/191vYh3oEa0L2kKWPntCUFk474VUnDf1A/view?usp=sharing,"Top: Pink Peppercorn, Bergamot, Incense
Mid: Bulgarian Rose, Ylang-Ylang, Cedar
Base: Vanilla Bean, Benzoin",Fall/Winter,EDP,4.6,น้ำหอมกลิ่นวานิลลาที่เข้มข้น อบอุ่น และมีกลิ่นเหล้า ผสมผสานกับกลิ่นธูปหอมควัน กุหลาบหวาน และฐานไม้ซีดาร์,Owned,100ml
Vetiver Parfum,Guerlain,,"Top: Coriander, Juniper
Mid: Vetiver, Smoke
Base: Tonka Bean, Leather",All Year,Extrait,4.5,น้ำหอมกลิ่นหญ้าแฝกที่เข้มข้นและมีกลิ่นควัน เสริมด้วยกลิ่นหอมของผักชีและฐานถั่วตองก้าที่อบอุ่น,,
Naxos,Xerjoff,,"Top: Lavender, Bergamot, Lemon
Mid: Honey, Cinnamon, Cashmeran, Jasmine Sambac
Base: Tobacco Leaf, Tonka Bean, Vanilla",Fall/Winter,EDP,4.5,การผสมผสานที่หรูหราของน้ำผึ้งแสนหวาน ลาเวนเดอร์ที่หอมกรุ่น และใบยาสูบที่เข้มข้น,,
The Hedonist Extrait de Parfum,Ex Nihilo,,"Top: Bergamot, Ginger
Mid: Akigalawood, Cedar
Base: Vetiver, Tonka Bean, Musk",All Year,Extrait,4.47,น้ำหอมกลิ่นไม้อโรมาติกที่มีขิงสดและมะกรูด รองพื้นด้วยไม้ซีดาร์และหญ้าแฝก,Owned,100ml
Royal Oud,Creed,,"Top: Pink Pepper, Lemon, Sicilian Bergamot
Mid: Cedar, Angelica, Galbanum
Base: Sandalwood, Agarwood (Oud), Musk",Fall/Winter,EDP,4.41,น้ำหอมกลิ่นไม้และเครื่องเทศที่สง่างาม ผสมผสานอย่างลงตัวด้วยซีดาร์ แองเจลิกา และไม้กฤษณาที่ประณีต,,
Lira,Casamorati,,"Top: Blood Orange, Bergamot, Lavender
Mid: Cinnamon, Licorice, Jasmine
Base: Caramel, Vanilla, Musk",Fall/Winter,EDP,4.35,น้ำหอมกลิ่นกูร์มองด์ที่น่ารับประทาน โดดเด่นด้วยคาราเมลอบอุ่น วานิลลา และส้มสีเลือดที่สดใส,,
Fleur Narcotique,Ex Nihilo,,"Top: Litchi, Bergamot, Peach
Mid: Peony, Orange Blossom, Jasmine
Base: Musk, Moss, Woodsy Notes",Spring/Summer,EDP,4.3,น้ำหอมกลิ่นฟรุตตี้ฟลอรัลที่สดใส ชุ่มฉ่ำ และสดชื่น พร้อมกลิ่นลิ้นจี่ที่เปล่งประกายและช่อดอกไม้ที่อุดมสมบูรณ์,Owned,100ml
Blue Talisman Extrait de Parfum,Ex Nihilo,https://drive.google.com/file/d/1C3N3dhRn5kW0ZhDiqnbQsuGDTmkNSWlN/view?usp=sharing,"Top: Pear, Bergamot
Mid: Orange Blossom, Jasmine Sambac
Base: Amberwood, Ambrofix, Sandalwood, Musk, Vanilla",All Year,Extrait,4.26,Blue Talisman รุ่นที่เข้มข้นและหนักแน่นขึ้น พร้อมกลิ่นฟลอรัลที่ขยายใหญ่ขึ้นและฐานแอมเบอร์วูดที่ลึกซึ้งยิ่งขึ้น,Empty,100ml
Shalimar Millesime Rose,Guerlain,,"Top: Rose Water, Almond, Bergamot
Mid: Damask Rose, May Rose, Incense
Base: Vanilla, Patchouli",Fall/Winter,EDP,4.22,Shalimar ในเวอร์ชันที่สนุกสนานและสว่างไสว พร้อมกลิ่นกุหลาบสดที่โดดเด่นซึ่งผสมผสานเข้ากับฐานวานิลลาที่อบอุ่น,,
Scarlet Sands,Ex Nihilo,https://drive.google.com/file/d/191vYh3oEa0L2kKWPntCUFk474VUnDf1A/view?usp=sharing,"Top: Raspberry, Mandarin
Mid: Orange Blossom, Jasmine, Freesia
Base: Amber, Akigalawood, Vanilla",Spring/Summer,EDP,4.2,น้ำหอมกลิ่นดอกไม้แอมเบอร์ที่มีการเปิดตัวด้วยผลไม้แสนหวานและฐานที่อบอุ่นของแอมเบอร์และ Akigalawood,Owned,100ml
